Date,High,Low,Closing,Value Traded,No. of Trans,No. of Shares
22/07/2019,0.66,0.65,0.66,6811,15,10350
21/07/2019,0.67,0.67,0.67,2706,7,4039
18/07/2019,0.68,0.66,0.68,3434,5,5200
17/07/2019,0.67,0.67,0.67,1474,7,2200
16/07/2019,0.69,0.65,0.67,12928,21,19362
15/07/2019,0.7,0.69,0.7,415,3,600
14/07/2019,0.72,0.69,0.7,33013,43,47245
11/07/2019,0.73,0.68,0.7,83941,114,119521
10/07/2019,0.68,0.63,0.68,23164,43,35104
09/07/2019,0.64,0.62,0.64,225213,11,363186
08/07/2019,0.63,0.63,0.63,63,1,100
07/07/2019,0.64,0.61,0.62,2224,7,3600
04/07/2019,0.62,0.6,0.61,6005,13,9914
03/07/2019,0.62,0.62,0.62,62,1,100
02/07/2019,0.62,0.6,0.6,3082,5,5133
01/07/2019,0.61,0.6,0.61,636,4,1057
30/06/2019,0.58,0.58,0.58,165,1,284
27/06/2019,0.6,0.59,0.6,1023,8,1731
26/06/2019,0.59,0.58,0.59,4021,6,6869
25/06/2019,0.58,0.57,0.58,3757,4,6500
23/06/2019,0.6,0.59,0.6,181,3,303
20/06/2019,0.59,0.58,0.59,584,4,991
19/06/2019,0.59,0.59,0.59,231,1,391
18/06/2019,0.59,0.58,0.58,2500,10,4284
16/06/2019,0.58,0.57,0.57,3049,11,5336
13/06/2019,0.59,0.58,0.59,175,3,300
12/06/2019,0.58,0.56,0.57,8434,21,14997
11/06/2019,0.58,0.58,0.58,145,1,250
10/06/2019,0.58,0.57,0.57,2965,4,5116
02/06/2019,0.58,0.58,0.58,165,1,284
29/05/2019,0.6,0.6,0.6,88,3,146
28/05/2019,0.61,0.59,0.61,2259,9,3814
27/05/2019,0.61,0.59,0.6,5794,11,9800
26/05/2019,0.58,0.58,0.58,841,4,1450
23/05/2019,0.58,0.57,0.58,2851,2,5000
22/05/2019,0.57,0.57,0.57,1710,1,3000
19/05/2019,0.57,0.57,0.57,3420,2,6000
16/05/2019,0.57,0.57,0.57,29,1,50
14/05/2019,0.57,0.56,0.57,169,2,300
13/05/2019,0.56,0.56,0.56,560,1,1000
12/05/2019,0.57,0.55,0.57,681,3,1225
09/05/2019,0.56,0.55,0.55,748,6,1350
07/05/2019,0.55,0.55,0.55,28,1,50
06/05/2019,0.55,0.54,0.54,5680,10,10456
05/05/2019,0.57,0.55,0.57,185,3,334
01/05/2019,0.57,0.57,0.57,570,1,1000
30/04/2019,0.59,0.57,0.57,405,3,700
29/04/2019,0.59,0.59,0.59,118,2,200
28/04/2019,0.61,0.61,0.61,18,1,30
24/04/2019,0.65,0.62,0.65,15346,29,24200
23/04/2019,0.63,0.62,0.62,1313,5,2086
22/04/2019,0.63,0.62,0.63,31328,35,49731
21/04/2019,0.62,0.62,0.62,1457,5,2350
18/04/2019,0.64,0.62,0.64,2139,3,3420
17/04/2019,0.63,0.63,0.63,1355,4,2150
16/04/2019,0.64,0.62,0.64,5818,11,9184
15/04/2019,0.63,0.63,0.63,16193,23,25703
14/04/2019,0.63,0.62,0.63,9576,23,15231
11/04/2019,0.62,0.62,0.62,7413,7,11957
10/04/2019,0.62,0.61,0.61,2044,7,3350
09/04/2019,0.62,0.61,0.61,10595,10,17365
08/04/2019,0.62,0.62,0.62,856,3,1381
07/04/2019,0.63,0.62,0.62,6131,8,9869
04/04/2019,0.64,0.63,0.64,1275,4,2000
03/04/2019,0.63,0.63,0.63,315,1,500
02/04/2019,0.63,0.62,0.62,2518,9,4013
01/04/2019,0.63,0.62,0.63,2757,7,4392
31/03/2019,0.62,0.62,0.62,1085,3,1750
28/03/2019,0.62,0.61,0.62,283,3,457
27/03/2019,0.62,0.61,0.62,4389,7,7178
26/03/2019,0.63,0.62,0.63,6450,10,10400
25/03/2019,0.63,0.62,0.63,11350,12,18281
24/03/2019,0.64,0.63,0.64,985,6,1540
21/03/2019,0.64,0.62,0.64,2082,8,3320
20/03/2019,0.62,0.62,0.62,2244,1,3619
19/03/2019,0.63,0.63,0.63,2225,8,3531
18/03/2019,0.64,0.63,0.63,2080,5,3300
17/03/2019,0.64,0.62,0.64,63,2,100
14/03/2019,0.65,0.61,0.64,32831,40,52851
12/03/2019,0.64,0.64,0.64,610,4,953
11/03/2019,0.64,0.64,0.64,4608,3,7200
10/03/2019,0.65,0.65,0.65,53,1,81
07/03/2019,0.66,0.64,0.66,12451,10,19187
06/03/2019,0.63,0.63,0.63,6458,7,10250
04/03/2019,0.64,0.64,0.64,1440,7,2250
28/02/2019,0.65,0.63,0.65,5758,25,8942
26/02/2019,0.66,0.64,0.66,11773,23,17950
25/02/2019,0.66,0.61,0.66,61270,62,95671
24/02/2019,0.63,0.6,0.63,54269,75,88850
21/02/2019,0.59,0.56,0.59,20801,26,36508
20/02/2019,0.59,0.58,0.58,1722,5,2925
19/02/2019,0.6,0.58,0.6,663,6,1127
18/02/2019,0.6,0.59,0.6,17185,47,29077
17/02/2019,0.61,0.59,0.6,26104,33,43500
14/02/2019,0.59,0.57,0.59,10819,24,18736
13/02/2019,0.58,0.55,0.58,3818,14,6701
12/02/2019,0.57,0.55,0.57,3045,18,5499
11/02/2019,0.57,0.55,0.57,3070,10,5478
07/02/2019,0.56,0.56,0.56,280,1,500
05/02/2019,0.56,0.55,0.56,572,5,1037
04/02/2019,0.55,0.53,0.55,995,4,1865
03/02/2019,0.56,0.55,0.55,716,2,1300
31/01/2019,0.56,0.53,0.54,5618,13,10369
30/01/2019,0.57,0.55,0.56,3040,9,5450
28/01/2019,0.58,0.58,0.58,16,1,28
27/01/2019,0.58,0.56,0.58,287,4,506
24/01/2019,0.59,0.55,0.58,3072,16,5501
22/01/2019,0.55,0.55,0.55,55,1,100
21/01/2019,0.54,0.53,0.54,668,11,1248
20/01/2019,0.54,0.54,0.54,54,1,100
16/01/2019,0.54,0.54,0.54,54,1,100
14/01/2019,0.53,0.53,0.53,133,1,250
13/01/2019,0.54,0.52,0.54,62,2,115
09/01/2019,0.54,0.53,0.54,241,3,450
31/12/2018,0.54,0.52,0.54,1100,9,2100
30/12/2018,0.53,0.53,0.53,530,2,1000
24/12/2018,0.54,0.53,0.54,3764,5,7100
23/12/2018,0.55,0.53,0.53,9493,16,17902
19/12/2018,0.55,0.53,0.55,3329,7,6200
18/12/2018,0.54,0.53,0.54,1700,4,3200
13/12/2018,0.54,0.53,0.54,80,2,150
12/12/2018,0.53,0.53,0.53,1060,1,2000
10/12/2018,0.54,0.52,0.54,1786,4,3369
09/12/2018,0.54,0.51,0.54,4575,12,8839
06/12/2018,0.54,0.52,0.54,1606,6,3050
05/12/2018,0.54,0.53,0.54,318,3,598
04/12/2018,0.58,0.54,0.55,1717,10,3100
03/12/2018,0.54,0.53,0.54,690,5,1300
02/12/2018,0.54,0.51,0.54,14991,15,28704
29/11/2018,0.51,0.51,0.51,1683,6,3300
28/11/2018,0.52,0.51,0.51,5984,9,11700
26/11/2018,0.54,0.52,0.52,1428,9,2686
25/11/2018,0.53,0.53,0.53,21356,8,40294
22/11/2018,0.54,0.53,0.53,436,4,818
21/11/2018,0.54,0.53,0.54,109,3,202
19/11/2018,0.54,0.52,0.54,2732,9,5200
18/11/2018,0.55,0.55,0.55,1155,3,2100
15/11/2018,0.55,0.54,0.55,4095,11,7450
13/11/2018,0.55,0.54,0.55,316,3,583
12/11/2018,0.55,0.55,0.55,55,1,100
11/11/2018,0.55,0.54,0.55,1081,4,2000
08/11/2018,0.55,0.53,0.53,8147,11,15045
07/11/2018,0.54,0.52,0.54,6251,9,11709
06/11/2018,0.54,0.53,0.53,5043,14,9412
05/11/2018,0.55,0.55,0.55,220,2,400
04/11/2018,0.55,0.54,0.55,208,3,384
01/11/2018,0.55,0.54,0.55,2191,11,3990
31/10/2018,0.54,0.54,0.54,54,1,100
30/10/2018,0.55,0.54,0.54,36951,45,68425
29/10/2018,0.55,0.54,0.54,3525,6,6500
28/10/2018,0.57,0.56,0.56,3386,13,5950
25/10/2018,0.57,0.54,0.57,11770,26,21166
24/10/2018,0.54,0.53,0.54,374,4,700
23/10/2018,0.53,0.52,0.53,3038,8,5751
22/10/2018,0.52,0.52,0.52,520,1,1000
18/10/2018,0.52,0.52,0.52,944,5,1815
17/10/2018,0.52,0.5,0.52,876,8,1689
15/10/2018,0.51,0.5,0.5,1044,6,2068
14/10/2018,0.51,0.51,0.51,3715,7,7284
11/10/2018,0.52,0.51,0.52,1276,5,2500
09/10/2018,0.52,0.5,0.52,916,6,1803
08/10/2018,0.51,0.51,0.51,1020,1,2000
07/10/2018,0.52,0.51,0.52,281,2,550
04/10/2018,0.52,0.51,0.52,307,4,600
02/10/2018,0.52,0.51,0.52,16560,38,32323
01/10/2018,0.52,0.51,0.52,1561,7,3050
27/09/2018,0.53,0.52,0.53,3035,4,5835
26/09/2018,0.53,0.52,0.53,2213,12,4250
25/09/2018,0.52,0.49,0.52,7099,25,14450
24/09/2018,0.53,0.5,0.5,22864,47,45276
23/09/2018,0.54,0.52,0.53,10816,30,20556
20/09/2018,0.55,0.54,0.54,116397,99,214650
12/09/2018,0.58,0.57,0.58,487,7,851
10/09/2018,0.58,0.57,0.58,486,6,850
09/09/2018,0.57,0.57,0.57,456,4,800
03/09/2018,0.57,0.57,0.57,143,2,250
02/09/2018,0.58,0.57,0.58,428,3,750
30/08/2018,0.57,0.55,0.55,9640,14,17416
29/08/2018,0.6,0.57,0.57,486,3,850
28/08/2018,0.6,0.6,0.6,10070,9,16784
19/08/2018,0.6,0.59,0.6,3500,5,5850
16/08/2018,0.61,0.57,0.6,24054,27,40052
13/08/2018,0.59,0.58,0.59,1464,4,2500
09/08/2018,0.59,0.59,0.59,248,1,420
07/08/2018,0.59,0.55,0.58,37031,50,64000
06/08/2018,0.55,0.55,0.55,1700,7,3090
05/08/2018,0.54,0.54,0.54,118,1,218
02/08/2018,0.54,0.54,0.54,272,1,504
01/08/2018,0.54,0.54,0.54,153,2,284
31/07/2018,0.56,0.53,0.56,316,5,584
30/07/2018,0.55,0.54,0.55,191,2,350
29/07/2018,0.55,0.53,0.55,329,7,614
25/07/2018,0.55,0.53,0.54,1674,11,3098
24/07/2018,0.56,0.53,0.56,645,11,1183
23/07/2018,0.56,0.56,0.56,112,1,200
22/07/2018,0.56,0.54,0.55,219018,5,405496
19/07/2018,0.55,0.55,0.55,275,6,500
15/07/2018,0.55,0.54,0.55,108,2,200
12/07/2018,0.54,0.53,0.54,748,4,1391
11/07/2018,0.54,0.54,0.54,594,2,1100
10/07/2018,0.55,0.54,0.54,8155,10,15100
09/07/2018,0.54,0.53,0.54,2727,12,5050
05/07/2018,0.56,0.55,0.55,796,4,1448
03/07/2018,0.55,0.54,0.55,2164,7,3959
02/07/2018,0.55,0.55,0.55,550,1,1000
28/06/2018,0.56,0.55,0.56,4052,6,7364
27/06/2018,0.55,0.54,0.54,3628,11,6605
25/06/2018,0.56,0.54,0.56,1364,15,2500
24/06/2018,0.56,0.55,0.56,303,4,550
21/06/2018,0.56,0.56,0.56,56,1,100
20/06/2018,0.56,0.56,0.56,56,1,100
14/06/2018,0.56,0.56,0.56,164,2,293
12/06/2018,0.56,0.54,0.56,21566,31,39004
11/06/2018,0.54,0.54,0.54,538,4,997
10/06/2018,0.54,0.53,0.53,1341,12,2500
07/06/2018,0.54,0.53,0.53,1538,5,2900
06/06/2018,0.54,0.52,0.54,239,4,454
05/06/2018,0.53,0.52,0.52,1993,5,3800
04/06/2018,0.55,0.53,0.55,427,2,798
03/06/2018,0.55,0.54,0.55,177,3,328
31/05/2018,0.55,0.54,0.55,181,2,334
29/05/2018,0.55,0.54,0.55,5695,12,10537
24/05/2018,0.56,0.55,0.56,9065,10,16300
23/05/2018,0.57,0.54,0.55,1209,8,2174
20/05/2018,0.55,0.55,0.55,550,1,1000
17/05/2018,0.54,0.54,0.54,270,1,500
16/05/2018,0.55,0.55,0.55,138,3,250
15/05/2018,0.56,0.55,0.55,573,8,1040
14/05/2018,0.55,0.54,0.55,271,2,500
13/05/2018,0.55,0.55,0.55,55,1,100
10/05/2018,0.55,0.54,0.55,3436,8,6358
09/05/2018,0.55,0.54,0.54,1174,8,2168
07/05/2018,0.55,0.54,0.55,483,3,884
06/05/2018,0.55,0.55,0.55,2915,8,5300
03/05/2018,0.56,0.54,0.56,1312,6,2400
02/05/2018,0.55,0.54,0.54,6727,11,12449
30/04/2018,0.54,0.53,0.54,5506,9,10300
29/04/2018,0.54,0.54,0.54,108,1,200
25/04/2018,0.58,0.58,0.58,2726,7,4700
24/04/2018,0.59,0.58,0.58,2488,7,4275
23/04/2018,0.59,0.58,0.59,1998,9,3403
17/04/2018,0.58,0.58,0.58,1767,5,3047
16/04/2018,0.59,0.58,0.58,2408,8,4150
15/04/2018,0.59,0.59,0.59,1534,4,2600
12/04/2018,0.58,0.57,0.58,5760,8,10100
11/04/2018,0.59,0.58,0.58,1177,5,2025
09/04/2018,0.58,0.58,0.58,1421,2,2450
05/04/2018,0.59,0.58,0.58,614,4,1056
02/04/2018,0.59,0.58,0.58,8916,15,15200
01/04/2018,0.58,0.58,0.58,5973,4,10299
29/03/2018,0.58,0.58,0.58,290,2,500
28/03/2018,0.59,0.58,0.58,959,6,1650
27/03/2018,0.59,0.58,0.58,3424,8,5900
26/03/2018,0.59,0.58,0.58,7939,12,13600
25/03/2018,0.59,0.58,0.59,2901,7,5000
22/03/2018,0.58,0.58,0.58,6845,19,11801
21/03/2018,0.58,0.58,0.58,290,3,500
20/03/2018,0.59,0.58,0.59,232,3,399
19/03/2018,0.58,0.58,0.58,2059,5,3550
15/03/2018,0.59,0.59,0.59,177,2,300
14/03/2018,0.6,0.59,0.59,8697,12,14730
13/03/2018,0.6,0.59,0.59,7280,6,12335
12/03/2018,0.6,0.59,0.59,3150,15,5335
08/03/2018,0.6,0.59,0.59,7705,21,13054
07/03/2018,0.58,0.58,0.58,5450,12,9396
06/03/2018,0.58,0.57,0.57,2279,9,3950
05/03/2018,0.59,0.58,0.59,3520,15,6050
04/03/2018,0.59,0.58,0.58,469,5,804
01/03/2018,0.58,0.58,0.58,1827,6,3150
28/02/2018,0.59,0.58,0.58,5535,12,9500
27/02/2018,0.61,0.58,0.59,26533,36,44705
25/02/2018,0.58,0.58,0.58,116,1,200
22/02/2018,0.58,0.57,0.58,342,2,592
21/02/2018,0.57,0.57,0.57,1196,5,2098
20/02/2018,0.58,0.56,0.58,3310,12,5896
19/02/2018,0.58,0.57,0.58,2660,9,4620
18/02/2018,0.59,0.58,0.59,5511,12,9427
15/02/2018,0.61,0.59,0.6,2998,7,5000
14/02/2018,0.58,0.57,0.57,1843,3,3232
13/02/2018,0.58,0.57,0.58,611,3,1068
12/02/2018,0.58,0.58,0.58,174,2,300
11/02/2018,0.59,0.57,0.57,3551,11,6140
08/02/2018,0.57,0.57,0.57,1226,5,2150
07/02/2018,0.57,0.57,0.57,114,2,200
06/02/2018,0.58,0.56,0.56,1336,9,2350
05/02/2018,0.56,0.56,0.56,560,2,1000
31/01/2018,0.57,0.56,0.57,589,4,1050
30/01/2018,0.57,0.55,0.57,751,5,1350
29/01/2018,0.56,0.55,0.56,10995,28,19980
28/01/2018,0.58,0.56,0.56,1806,14,3200
25/01/2018,0.59,0.59,0.59,118,1,200
24/01/2018,0.58,0.57,0.58,898,7,1552
23/01/2018,0.57,0.56,0.57,30511,43,53761
21/01/2018,0.59,0.58,0.58,2958,11,5099
18/01/2018,0.58,0.56,0.57,104,3,182
17/01/2018,0.58,0.58,0.58,58,1,100
16/01/2018,0.57,0.57,0.57,570,1,1000
10/01/2018,0.56,0.55,0.56,324,3,584
09/01/2018,0.56,0.56,0.56,733,7,1309
31/12/2017,0.56,0.56,0.56,112,2,200
28/12/2017,0.56,0.55,0.56,1268,4,2300
27/12/2017,0.56,0.55,0.55,4210,7,7518
26/12/2017,0.56,0.56,0.56,1120,1,2000
24/12/2017,0.56,0.56,0.56,4480,6,8000
21/12/2017,0.58,0.57,0.58,660,3,1150
20/12/2017,0.58,0.57,0.57,172,2,300
13/12/2017,0.57,0.57,0.57,285,4,500
12/12/2017,0.58,0.57,0.57,1770,6,3101
10/12/2017,0.57,0.57,0.57,228,4,400
07/12/2017,0.57,0.56,0.57,3513,4,6250
05/12/2017,0.58,0.57,0.58,1910,12,3349
04/12/2017,0.58,0.57,0.58,58,2,100
03/12/2017,0.58,0.57,0.57,2124,10,3700
29/11/2017,0.56,0.55,0.56,17347,18,31450
27/11/2017,0.59,0.58,0.58,611,3,1050
23/11/2017,0.59,0.59,0.59,59,1,100
22/11/2017,0.59,0.58,0.58,321,6,550
21/11/2017,0.59,0.59,0.59,89,1,150
19/11/2017,0.59,0.57,0.59,715,2,1250
16/11/2017,0.57,0.57,0.57,2815,5,4938
14/11/2017,0.58,0.58,0.58,1595,7,2750
13/11/2017,0.6,0.59,0.59,5537,6,9381
12/11/2017,0.6,0.59,0.6,208,3,350
08/11/2017,0.61,0.56,0.61,95386,94,159328
07/11/2017,0.57,0.57,0.57,4896,12,8590
06/11/2017,0.57,0.56,0.57,10558,24,18800
05/11/2017,0.57,0.57,0.57,1425,1,2500
02/11/2017,0.57,0.56,0.57,13762,31,24234
01/11/2017,0.6,0.57,0.57,50886,71,87724
31/10/2017,0.56,0.56,0.56,2800,4,5000
30/10/2017,0.57,0.55,0.56,12458,14,22200
29/10/2017,0.55,0.55,0.55,6890,21,12528
26/10/2017,0.57,0.54,0.56,88949,113,163950
25/10/2017,0.58,0.54,0.54,25783,51,47071
24/10/2017,0.58,0.57,0.58,17,2,29
23/10/2017,0.58,0.58,0.58,1612,2,2780
22/10/2017,0.58,0.58,0.58,667,2,1150
19/10/2017,0.59,0.58,0.59,117,2,200
18/10/2017,0.58,0.57,0.58,742,3,1300
17/10/2017,0.57,0.57,0.57,114,2,200
16/10/2017,0.59,0.55,0.56,12996,27,23260
15/10/2017,0.59,0.56,0.56,2838,6,4946
12/10/2017,0.59,0.59,0.59,295,2,500
09/10/2017,0.59,0.59,0.59,296,2,502
08/10/2017,0.59,0.59,0.59,129,1,218
05/10/2017,0.6,0.59,0.6,258,2,434
04/10/2017,0.6,0.6,0.6,600,1,1000
03/10/2017,0.59,0.59,0.59,767,3,1300
02/10/2017,0.6,0.6,0.6,30,1,50
28/09/2017,0.6,0.6,0.6,600,3,1000
27/09/2017,0.6,0.59,0.6,1419,12,2369
25/09/2017,0.6,0.59,0.6,1808,9,3062
20/09/2017,0.6,0.6,0.6,305,6,509
19/09/2017,0.6,0.6,0.6,90,1,150
17/09/2017,0.6,0.59,0.6,2750,15,4650
14/09/2017,0.6,0.6,0.6,1230,6,2050
13/09/2017,0.61,0.6,0.61,934,6,1554
12/09/2017,0.6,0.6,0.6,762,4,1270
11/09/2017,0.62,0.6,0.62,1333,5,2219
10/09/2017,0.6,0.6,0.6,261,4,435
07/09/2017,0.6,0.59,0.6,1190,10,2000
06/09/2017,0.6,0.6,0.6,7369,3,12281
05/09/2017,0.6,0.6,0.6,268,1,446
30/08/2017,0.62,0.59,0.62,5052,18,8496
28/08/2017,0.6,0.59,0.59,14430,28,24347
27/08/2017,0.6,0.6,0.6,240,2,400
24/08/2017,0.6,0.59,0.59,4755,9,7941
23/08/2017,0.6,0.59,0.6,11955,27,19975
22/08/2017,0.59,0.59,0.59,684,5,1159
21/08/2017,0.6,0.59,0.59,724,3,1222
17/08/2017,0.6,0.59,0.6,715,5,1200
16/08/2017,0.6,0.59,0.59,828,4,1384
14/08/2017,0.61,0.61,0.61,549,2,900
13/08/2017,0.6,0.6,0.6,346,4,577
10/08/2017,0.61,0.6,0.61,394,6,654
09/08/2017,0.61,0.6,0.6,1298,6,2150
08/08/2017,0.61,0.6,0.61,421,5,700
07/08/2017,0.61,0.59,0.6,1753,13,2925
06/08/2017,0.6,0.6,0.6,3180,18,5300
03/08/2017,0.61,0.61,0.61,549,4,900
02/08/2017,0.61,0.61,0.61,10614,7,17400
01/08/2017,0.61,0.61,0.61,183,2,300
30/07/2017,0.61,0.61,0.61,14762,17,24200
27/07/2017,0.62,0.62,0.62,2263,4,3650
26/07/2017,0.62,0.62,0.62,837,2,1350
25/07/2017,0.62,0.62,0.62,905,5,1460
24/07/2017,0.62,0.62,0.62,682,3,1100
23/07/2017,0.63,0.62,0.63,2544,15,4100
20/07/2017,0.64,0.62,0.63,3166,19,5090
19/07/2017,0.64,0.62,0.63,9943,42,15944
18/07/2017,0.64,0.64,0.64,96,1,150
16/07/2017,0.65,0.65,0.65,660,6,1016
13/07/2017,0.65,0.65,0.65,65,2,100
12/07/2017,0.65,0.63,0.65,220,5,344
10/07/2017,0.65,0.64,0.65,161,2,250
09/07/2017,0.66,0.64,0.64,11649,19,17802
05/07/2017,0.64,0.62,0.64,217,4,344
04/07/2017,0.63,0.63,0.63,158,3,250
03/07/2017,0.63,0.63,0.63,101,4,161
29/06/2017,0.64,0.63,0.64,948,5,1500
21/06/2017,0.64,0.63,0.64,32,2,50
20/06/2017,0.63,0.63,0.63,221,1,350
19/06/2017,0.63,0.61,0.63,929,8,1512
13/06/2017,0.63,0.63,0.63,63,1,100
11/06/2017,0.63,0.62,0.62,2013,12,3229
08/06/2017,0.63,0.63,0.63,95,3,150
07/06/2017,0.63,0.63,0.63,378,4,600
06/06/2017,0.63,0.63,0.63,662,4,1050
05/06/2017,0.63,0.63,0.63,788,4,1250
04/06/2017,0.62,0.62,0.62,828,7,1336
01/06/2017,0.64,0.63,0.63,253,4,400
30/05/2017,0.64,0.64,0.64,128,2,200
29/05/2017,0.63,0.63,0.63,63,1,100
28/05/2017,0.64,0.64,0.64,64,1,100
23/05/2017,0.64,0.63,0.64,1971,8,3125
18/05/2017,0.64,0.64,0.64,1348,4,2106
17/05/2017,0.64,0.63,0.64,851,11,1334
16/05/2017,0.64,0.64,0.64,736,2,1150
11/05/2017,0.65,0.64,0.65,256,5,400
10/05/2017,0.64,0.64,0.64,21952,12,34300
09/05/2017,0.65,0.65,0.65,325,3,500
08/05/2017,0.65,0.64,0.64,1706,8,2664
07/05/2017,0.64,0.64,0.64,96,1,150
04/05/2017,0.63,0.63,0.63,252,1,400
03/05/2017,0.63,0.63,0.63,1040,5,1650
02/05/2017,0.64,0.61,0.64,316,8,510
01/05/2017,0.64,0.64,0.64,128,1,200
27/04/2017,0.64,0.63,0.63,909,8,1440
25/04/2017,0.65,0.64,0.65,1030,9,1600
24/04/2017,0.65,0.64,0.65,130,3,200
23/04/2017,0.65,0.63,0.64,1489,14,2350
20/04/2017,0.65,0.64,0.64,290,4,450
18/04/2017,0.64,0.63,0.63,4588,12,7200
17/04/2017,0.65,0.64,0.64,3799,10,5934
13/04/2017,0.65,0.64,0.65,779,11,1200
12/04/2017,0.64,0.64,0.64,480,5,750
11/04/2017,0.65,0.64,0.65,2596,10,4055
10/04/2017,0.65,0.64,0.64,321,3,500
09/04/2017,0.65,0.65,0.65,130,1,200
06/04/2017,0.65,0.64,0.65,12898,17,20150
05/04/2017,0.65,0.64,0.65,68,2,105
04/04/2017,0.65,0.64,0.65,14851,30,23200
02/04/2017,0.66,0.65,0.65,1889,7,2900
29/03/2017,0.66,0.65,0.66,732,6,1125
28/03/2017,0.66,0.65,0.66,3966,21,6100
27/03/2017,0.66,0.65,0.66,24885,23,38253
26/03/2017,0.66,0.66,0.66,2340,7,3545
23/03/2017,0.67,0.66,0.67,948,6,1435
22/03/2017,0.66,0.65,0.65,4851,13,7350
21/03/2017,0.66,0.66,0.66,1122,9,1700
20/03/2017,0.67,0.66,0.66,1784,5,2700
19/03/2017,0.67,0.66,0.67,1486,6,2250
16/03/2017,0.67,0.65,0.67,166,3,250
15/03/2017,0.67,0.66,0.67,17367,65,26310
14/03/2017,0.66,0.66,0.66,264,3,400
13/03/2017,0.66,0.66,0.66,2970,6,4500
12/03/2017,0.66,0.65,0.65,683,10,1041
09/03/2017,0.66,0.66,0.66,1304,9,1975
08/03/2017,0.66,0.66,0.66,924,5,1400
07/03/2017,0.67,0.66,0.67,2047,3,3100
02/03/2017,0.67,0.66,0.67,11969,31,18133
01/03/2017,0.67,0.66,0.66,10530,23,15940
28/02/2017,0.68,0.67,0.67,142492,10,212659
27/02/2017,0.69,0.67,0.69,1419,15,2103
26/02/2017,0.68,0.65,0.68,32915,16,50050
22/02/2017,0.66,0.66,0.66,3927,12,5950
21/02/2017,0.67,0.66,0.66,1163,5,1750
20/02/2017,0.67,0.66,0.66,2546,14,3856
19/02/2017,0.66,0.65,0.65,2649,17,4018
16/02/2017,0.67,0.66,0.67,4732,11,7166
15/02/2017,0.68,0.66,0.66,10888,27,16294
14/02/2017,0.66,0.66,0.66,3564,11,5400
13/02/2017,0.67,0.65,0.67,495,8,750
12/02/2017,0.66,0.66,0.66,2013,5,3050
09/02/2017,0.66,0.66,0.66,858,2,1300
08/02/2017,0.67,0.65,0.66,7145,27,10854
06/02/2017,0.68,0.68,0.68,68,1,100
05/02/2017,0.67,0.67,0.67,4121,21,6150
02/02/2017,0.68,0.67,0.68,1006,7,1500
01/02/2017,0.68,0.68,0.68,1326,1,1950
31/01/2017,0.68,0.67,0.68,4030,2,6000
30/01/2017,0.68,0.67,0.68,103574,18,154550
29/01/2017,0.68,0.67,0.67,551,6,817
26/01/2017,0.69,0.69,0.69,138,1,200
25/01/2017,0.68,0.65,0.68,8060,26,12034
24/01/2017,0.66,0.65,0.65,10435,23,15917
23/01/2017,0.67,0.66,0.67,5692,22,8618
22/01/2017,0.68,0.67,0.68,4557,22,6791
19/01/2017,0.69,0.68,0.68,1708,13,2510
18/01/2017,0.7,0.68,0.69,122327,141,179308
17/01/2017,0.69,0.68,0.69,50535,96,74234
16/01/2017,0.68,0.68,0.68,2108,6,3100
15/01/2017,0.68,0.67,0.67,1243,4,1850
12/01/2017,0.69,0.67,0.68,18789,27,27850
11/01/2017,0.69,0.69,0.69,414,1,600
10/01/2017,0.69,0.69,0.69,69,1,100
09/01/2017,0.69,0.67,0.67,977,6,1450
08/01/2017,0.68,0.68,0.68,408,4,600
05/01/2017,0.69,0.68,0.68,81741,24,120200
04/01/2017,0.69,0.68,0.69,56786,32,82985
03/01/2017,0.69,0.67,0.68,1816,16,2678
02/01/2017,0.73,0.68,0.68,15692,38,22800
29/12/2016,0.68,0.67,0.68,21492,8,32042
28/12/2016,0.68,0.68,0.68,68,1,100
27/12/2016,0.67,0.67,0.67,67,1,100
22/12/2016,0.68,0.67,0.68,1049,4,1550
15/12/2016,0.68,0.68,0.68,14210,9,20897
14/12/2016,0.67,0.65,0.67,3506,13,5327
13/12/2016,0.68,0.66,0.68,2514,11,3804
11/12/2016,0.66,0.66,0.66,3083,4,4671
08/12/2016,0.68,0.68,0.68,34,1,50
07/12/2016,0.68,0.67,0.67,1361,3,2016
06/12/2016,0.67,0.67,0.67,1273,5,1900
05/12/2016,0.67,0.66,0.67,1569,4,2346
04/12/2016,0.67,0.67,0.67,190,1,284
01/12/2016,0.68,0.67,0.68,148,3,220
30/11/2016,0.68,0.67,0.68,257,2,383
29/11/2016,0.68,0.66,0.67,785,9,1184
28/11/2016,0.67,0.66,0.67,1444,7,2184
27/11/2016,0.68,0.66,0.68,264371,3,400545
24/11/2016,0.68,0.68,0.68,1020,4,1500
22/11/2016,0.68,0.67,0.68,135,3,200
21/11/2016,0.68,0.66,0.68,7091,13,10563
17/11/2016,0.66,0.65,0.65,1305,4,2000
15/11/2016,0.66,0.65,0.65,3481,18,5340
14/11/2016,0.66,0.66,0.66,515,2,780
13/11/2016,0.67,0.66,0.67,272,4,410
10/11/2016,0.68,0.67,0.68,2113,8,3150
09/11/2016,0.67,0.66,0.67,1836,10,2770
08/11/2016,0.68,0.66,0.66,243,4,364
07/11/2016,0.67,0.66,0.66,3525,5,5265
